Wall time,Step,Value
1555984967.0758817,1,91.2699966430664
1555984986.7691917,2,94.23999786376953
1555985007.3970034,3,95.44999694824219
1555985026.041151,4,96.05999755859375
1555985049.8285084,5,96.5999984741211
1555985069.848946,6,96.75
1555985087.466809,7,97.33999633789062
1555985102.7000535,8,97.45999908447266
1555985119.2796955,9,97.48999786376953
1555985135.902224,10,97.55999755859375
1555985151.7727625,11,97.70999908447266
1555985171.5249178,12,97.81999969482422
1555985189.6245008,13,97.86000061035156
1555985204.839789,14,97.66999816894531
1555985221.5780437,15,97.77999877929688
1555985235.3711002,16,97.77999877929688
1555985250.1236305,17,97.79000091552734
1555985263.830958,18,97.83000183105469
1555985277.6061027,19,97.95999908447266
1555985292.42346,20,97.80999755859375
1555985308.091541,21,97.91999816894531
1555985326.08939,22,97.97000122070312
1555985341.7415128,23,97.72000122070312
1555985356.646634,24,97.94000244140625
1555985374.8838422,25,97.93000030517578
1555985392.3122127,26,97.91999816894531
1555985408.9167898,27,97.97000122070312
1555985425.624091,28,97.93000030517578
1555985442.9906273,29,97.9800033569336
1555985460.3202617,30,97.97000122070312
