Wall time,Step,Value
1556002059.4644644,50,115.49591064453125
1556002061.1625142,100,115.27082061767578
1556002062.7788959,150,115.29255676269531
1556002064.4384456,200,115.21592712402344
1556002065.969792,250,115.11705780029297
1556002067.6796663,300,115.30773162841797
1556002069.3941872,350,115.29121398925781
1556002071.1048138,400,115.2409896850586
1556002072.751913,450,115.22013854980469
1556002074.4358323,500,115.3365478515625
1556002075.9698505,550,115.22651672363281
1556002077.4933903,600,115.27253723144531
1556002079.0191135,650,115.26233673095703
1556002080.5928693,700,115.35310363769531
1556002082.146417,750,115.2702407836914
1556002083.801618,800,115.29853820800781
1556002085.412578,850,115.22727966308594
1556002087.065188,900,115.3087387084961
1556002092.3807635,988,115.21711730957031
1556002094.0428119,1038,115.18862915039062
1556002095.6930783,1088,115.35804748535156
1556002097.2947583,1138,115.31047821044922
1556002098.8457372,1188,115.2323226928711
1556002100.5903838,1238,115.29359436035156
1556002102.1850922,1288,115.27867889404297
1556002103.8048968,1338,115.29059600830078
1556002105.8613248,1388,115.34042358398438
1556002107.6228173,1438,115.15110778808594
1556002109.4044461,1488,115.31625366210938
1556002111.824321,1538,115.28583526611328
1556002113.948535,1588,115.25751495361328
1556002116.0870633,1638,115.29469299316406
1556002118.5030143,1688,115.2583236694336
1556002120.785835,1738,115.248779296875
1556002122.527646,1788,115.31145477294922
1556002124.5367687,1838,115.14237976074219
1556002127.955736,1926,115.24054718017578
1556002129.8047543,1976,115.27852630615234
1556002132.0667856,2026,115.38148498535156
1556002134.913713,2076,115.08434295654297
1556002139.6497407,2126,115.14167022705078
1556002142.3055315,2176,115.17552185058594
1556002149.347466,2226,115.22783660888672
1556002152.5340664,2276,115.17122650146484
1556002155.3871558,2326,115.3239517211914
1556002158.1034741,2376,115.2098617553711
1556002161.3568773,2426,115.16095733642578
1556002163.9799728,2476,115.31562805175781
1556002166.4221594,2526,115.28834533691406
1556002168.8307688,2576,115.3419189453125
1556002171.4928,2626,115.25971221923828
1556002174.0220401,2676,115.27928924560547
1556002176.984999,2726,115.26966094970703
1556002179.5636768,2776,115.26234436035156
1556002187.7687643,2864,115.26849365234375
1556002190.2676365,2914,115.23558807373047
